,created_at,favorite_count,id_str,in_reply_to_user_id_str,is_retweet,retweet_count,source,text
4100,Sun Jan 10 18:28:54 +0000 2016,8432,686253395024297984,,False,3108,Twitter for Android,"In the just out @FoxNews Poll, I easily beat Hillary Clinton - and I havn't even focused on her yet. On our way: MAKE AMERICA GREAT AGAIN!"
4101,Sun Jan 10 18:23:57 +0000 2016,6308,686252152042336256,,False,1732,Twitter for Android,Yesterday in Iowa was amazing - two speeches in front of two great sold out crowds. They love that I am the only candidate self-funding!
4102,Sun Jan 10 13:49:06 +0000 2016,3420,686182981891801088,,False,1264,Twitter for Android,"""@redletter99: Trump pummels his opponents - and the press | SunHerald @realDonaldTrump https://t.co/9MQhOSpiWa""  Thank you!"
4103,Sun Jan 10 00:13:03 +0000 2016,6698,685977617145663492,,False,1903,Twitter for iPhone,I want to thank the people of Iowa for an unbelievable day. The crowds were amazing. Will be back Tuesday!
4104,Sun Jan 10 00:12:43 +0000 2016,3926,685977534983462912,,False,1107,Twitter for iPhone,Will be on Meet the Press with @ChuckTodd tomorrow morning. Enjoy!
4105,Sun Jan 10 00:12:20 +0000 2016,4483,685977438527078400,,False,1244,Twitter for iPhone,I will be interviewed by Chris Wallace on Fox tomorrow morning. Tune in!
4106,Sat Jan 09 18:01:00 +0000 2016,5350,685883989039656961,,False,1885,Twitter for iPhone,I'm protesting the @UnionLeader from having anything to do w/ ABC debate. Their unethical record doesn't give them the right to be involved!
4107,Sat Jan 09 17:56:10 +0000 2016,2853,685882772540534785,,False,1023,Twitter for iPhone,"(2/2) David brilliantly tells it like it is -- the real deal! Read it! 
https://t.co/9n5CCrefKn"
4108,Sat Jan 09 17:56:06 +0000 2016,4372,685882755020898304,,False,1498,Twitter for iPhone,(1/2) Time Magazine has me on the cover this week. David Von Drehle has written one of the best stories I have ever had.
4109,Sat Jan 09 17:19:54 +0000 2016,3791,685873644308926464,,False,1102,Twitter for iPhone,Thank you so much. Earnest must have been a great person. https://t.co/2DZp7YOadj https://t.co/2YtLlEwceB
4110,Sat Jan 09 16:06:56 +0000 2016,2823,685855280798674944,,False,798,Twitter for iPhone,".@JonahNRO, watched on @seanhannity and appreciate your statements --- I have been waiting for them for a long time. Thank you."
4111,Sat Jan 09 16:05:17 +0000 2016,2749,685854865998884864,,False,1070,Twitter for iPhone,"Thank you, @TheFix- Chris Cillizza. It is a true person of character that can change his opinion &amp; do what is right. https://t.co/0VxlT9iEbr"
4112,Sat Jan 09 15:41:44 +0000 2016,3253,685848940298776577,,False,1217,Twitter for Android,"Constitutional law expert  #Laurence Tribe of Harvard says ""wrong to say it (natural born citizen) is a settled matter-it isn't settled)."
4113,Sat Jan 09 14:26:28 +0000 2016,6775,685829999467872256,,False,1922,Twitter for Android,South Carolina rally last night was so unbelievably exciting (and fun). I am now off to Iowa for two big rallies - packed houses. Love it!
4114,Sat Jan 09 14:22:36 +0000 2016,4034,685829026175401984,,False,1368,Twitter for Android,"Pat Buchanan gave a fantastic interview this morning on @CNN - way to go Pat, way ahead of your time!"
4115,Sat Jan 09 02:08:42 +0000 2016,6343,685644333022851072,,False,1913,Twitter for iPhone,"Great even in SC tonight! Fire Marshall would not let everyone in-- 5,000 turned away. Thank you for coming!"
4116,Fri Jan 08 23:39:37 +0000 2016,4721,685606815267221504,,False,1230,Twitter for Android,"Will be at venue, in wonderful South Carolina, very soon. Big traffic back-up, tremendous crowd! Will be wild."
4117,Fri Jan 08 23:12:35 +0000 2016,5718,685600012043202560,,False,2423,Twitter for iPhone,"#FoxNews Poll - THANK YOU!
#MakeAmericaGreatAgain #Trump2016 https://t.co/dKuyzLRTZ3"
4118,Fri Jan 08 22:36:09 +0000 2016,6235,685590843181416448,,False,2558,Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/3HmclWL9GT
4119,Fri Jan 08 22:09:20 +0000 2016,7185,685584095120887809,,False,2627,Twitter for iPhone,Love seeing union &amp; non-union members alike are defecting to Trump. I will create jobs like no one else. Their #Dem leaders can’t compete!
4120,Fri Jan 08 22:03:35 +0000 2016,5933,685582649679867904,,False,2162,Twitter for iPhone,I hope all workers demand that their @Teamsters reps endorse Donald J. Trump. Nobody knows jobs like I do! Don’t let them sell you out!
4121,Fri Jan 08 21:20:02 +0000 2016,5023,685571686423461888,,False,1279,Twitter for iPhone,On my way to South Carolina. Big Crowd--- look forward to it!
4122,Fri Jan 08 18:47:39 +0000 2016,4572,685533340074688512,,False,1790,Twitter Web Client,Not good news for Jeb Bush  https://t.co/5CrP5zdXsz
4123,Fri Jan 08 15:57:17 +0000 2016,5390,685490467329425408,,False,1968,Twitter for Android,"Hank Greenberg, formerly of AIG, gave $10 million to the @JebBush campaign 3 months ago. He is not happy, a total waste of money!"
4124,Fri Jan 08 03:32:10 +0000 2016,4837,685302951821340672,,False,1417,Twitter for Android,"""@rlbenney: @realDonaldTrump You did great and showed courage going to Burlington. No other GOP candidate would do what you did tonight!"""
